"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042110","T cell activation","196/3069","464/18670",1.26668471869585e-40,7.93831313206689e-37,6.38542433456256e-37,"ITK/CTLA4/BTLA/SLAMF6/CAMK4/IRF4/TIGIT/LAX1/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/PTPN22/LY9/RIPOR2/CD6/CD28/BCL11B/RUNX3/RHOH/SLA2/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/CD3G/NLRC3/ZAP70/ITGAL/CD3E/TNFRSF13C/TESPA1/EOMES/SIT1/DOCK2/WAS/DOCK8/MYB/IL7R/CD2/GPR18/TCF7/CD3D/CORO1A/TBX21/SASH3/CD5/RAC2/HLA-DPB1/SPN/IL12RB1/LAG3/CD40LG/LILRB1/TNFSF8/JAML/ICOS/VAV1/FANCD2/TREML2/THEMIS/NOD2/FOXP3/HLA-DOA/BTN2A2/CCR6/BTN3A1/CD27/TNFRSF18/CD8A/JAK3/CD7/FCGR2B/APBB1IP/LCP1/CD1C/WNT1/PIK3CD/ITPKB/NCKAP1L/PTPN6/FUT7/CASP8/IL4R/CD300A/CR1/P2RX7/F2RL1/CCR7/HLA-DPA1/PIK3CG/SIRPB1/TNFSF4/RUNX2/CD83/CD74/NFATC2/PAG1/CD8B/BATF/ADAM8/TMEM131L/MALT1/CD70/GPR183/IL23A/TNFSF11/CD86/HAVCR2/ABL1/TMIGD2/TNFRSF1B/IL18/CSK/ZMIZ1/CCR2/ERBB2/VNN1/NLRP3/IHH/HHLA2/AIRE/PLA2G2D/IL18R1/DPP4/ELF4/CD47/PELI1/CD274/TNFSF13B/B2M/CASP3/FOXN1/IFNG/LAT/FANCA/TCIRG1/PRDM1/IL23R/LGALS9B/IL7/HLA-G/MICB/FAM49B/ZBTB7B/ADORA2A/PYCARD/CCR9/EFNB1/CLEC7A/CD4/HLA-DMB/TNFAIP8L2/LGALS9/IL12A/IL2/FYN/SMAD7/CD80/LEF1/SELENOK/NCSTN/KDELR1/IL2RA/LFNG/GLI3/EGR3/IL10/AP3D1/DDOST/AP3B1/LEPR/DUSP22/ZBTB1/ZC3H8/PATZ1/CGAS/CD160/FZD5/HMGB1/EFNB2/CLPTM1/LILRB4/RAC1/SH3RF1/HLA-E/PTPN2/XCL1/VCAM1/CYLD/STOML2/FKBP1A/PSMB10",196
"BP","GO:0030098","lymphocyte differentiation","153/3069","353/18670",2.02299798913995e-33,6.33906419897004e-30,5.09901966841644e-30,"MS4A1/FCRL3/ITK/CTLA4/CD79A/CD19/SLAMF6/CAMK4/IRF4/CR2/PTPRC/POU2F2/CD79B/CARD11/PTPN22/IKZF3/IKZF1/LY9/INPP5D/CD28/BCL11B/RUNX3/RHOH/AICDA/HDAC9/LCK/RASGRP1/CD3G/ZAP70/ITGA4/CD3E/TESPA1/EOMES/DOCK2/MYB/IL7R/CD2/GPR18/TCF7/CD3D/TBX21/SASH3/DOCK10/SPN/IL12RB1/LAG3/PTK2B/BTK/CD40LG/PLCG2/TNFSF8/VAV1/FANCD2/THEMIS/FOXP3/HLA-DOA/BTN2A2/ATM/CCR6/TOX/CD27/TNFRSF18/CD8A/JAK3/FCGR2B/WNT1/PIK3CD/ITPKB/NCKAP1L/PTPN6/FUT7/IL4R/CR1/CCR7/TNFSF4/RUNX2/CD83/CD74/NFATC2/BATF/ADAM8/TMEM131L/NFAM1/MALT1/C17orf99/GPR183/IL23A/FLT3/CD86/ABL1/IL18/ZMIZ1/CCR2/ERBB2/VNN1/HMGB3/NLRP3/IHH/AIRE/PLA2G2D/IL18R1/B2M/FOXN1/IFNG/FANCA/TCIRG1/SPI1/PRDM1/IL23R/IL7/SLAMF8/HLA-G/ZBTB7B/CCR9/TLR9/PGLYRP2/LYL1/CD4/LGALS9/IL12A/IL2/SMAD7/CD80/LEF1/ATP11C/ZBTB7A/KDELR1/IL2RA/BLNK/LFNG/GLI3/EGR3/IL10/AP3D1/AP3B1/LEPR/ZBTB1/ZC3H8/PATZ1/FZD5/PLCL2/HMGB1/CLPTM1/LILRB4/PPP2R3C/SH3RF1/CDH17/FLT3LG/PTPN2/VCAM1/RBPJ/CYLD/ITGB1",153
"BP","GO:0050863","regulation of T cell activation","141/3069","314/18670",6.93514355176293e-33,1.44875148796328e-29,1.16534745506641e-29,"CTLA4/BTLA/CAMK4/IRF4/TIGIT/LAX1/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/PTPN22/RIPOR2/CD6/CD28/RUNX3/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/ZAP70/CD3E/TNFRSF13C/TESPA1/SIT1/DOCK8/MYB/IL7R/CD2/CORO1A/TBX21/SASH3/CD5/RAC2/HLA-DPB1/SPN/IL12RB1/LAG3/CD40LG/LILRB1/TNFSF8/ICOS/VAV1/FANCD2/NOD2/FOXP3/HLA-DOA/BTN2A2/CD27/TNFRSF18/JAK3/FCGR2B/ITPKB/NCKAP1L/PTPN6/IL4R/CD300A/CR1/CCR7/HLA-DPA1/SIRPB1/TNFSF4/CD83/CD74/NFATC2/PAG1/ADAM8/TMEM131L/MALT1/CD70/IL23A/TNFSF11/CD86/HAVCR2/ABL1/TMIGD2/TNFRSF1B/IL18/CSK/ZMIZ1/CCR2/ERBB2/VNN1/NLRP3/IHH/HHLA2/PLA2G2D/DPP4/CD47/PELI1/CD274/TNFSF13B/CASP3/FOXN1/IFNG/LAT/FANCA/PRDM1/IL23R/LGALS9B/IL7/HLA-G/FAM49B/ZBTB7B/ADORA2A/PYCARD/EFNB1/CD4/HLA-DMB/TNFAIP8L2/LGALS9/IL12A/IL2/FYN/SMAD7/CD80/SELENOK/IL2RA/GLI3/EGR3/IL10/AP3D1/AP3B1/DUSP22/ZBTB1/ZC3H8/CGAS/CD160/HMGB1/EFNB2/CLPTM1/LILRB4/RAC1/SH3RF1/HLA-E/PTPN2/XCL1/VCAM1/CYLD",141
"BP","GO:0051249","regulation of lymphocyte activation","180/3069","485/18670",7.22843636634904e-29,1.13251526769774e-25,9.1097320416962e-26,"FCRL3/CTLA4/CD19/BTLA/CAMK4/IRF4/MZB1/TIGIT/LAX1/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/PTPN22/IKZF3/RIPOR2/CD6/INPP5D/CD28/TNFRSF13B/RUNX3/SLA2/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/ZAP70/CD3E/TNFRSF13C/TESPA1/SIT1/IGLL5/DOCK8/MYB/IL7R/CD2/CORO1A/TBX21/SASH3/CD5/RAC2/HLA-DPB1/SPN/IL12RB1/LAG3/BTK/CD40LG/LILRB1/TNFSF8/ICOS/VAV1/FANCD2/TNFAIP3/NOD2/HLA-F/FOXP3/HLA-DOA/BTN2A2/ATM/BANK1/TOX/CD27/TNFRSF18/JAK3/FCGR2B/ITPKB/NCKAP1L/PTPN6/SAMSN1/IL4R/CD300A/CR1/CCR7/HLA-DPA1/SIRPB1/TNFSF4/CD83/CD74/IGLL1/NFATC2/PAG1/ADAM8/TMEM131L/NFAM1/MALT1/CD22/CD70/GPR183/IL23A/TNFSF11/CD86/HAVCR2/ABL1/TMIGD2/TNFRSF1B/IL18/ATAD5/CSK/ZMIZ1/CCR2/ERBB2/VNN1/IL27RA/HMGB3/NLRP3/CD40/IHH/HHLA2/PLA2G2D/DPP4/CD47/PELI1/CD274/TNFSF13B/CASP3/FOXN1/CD38/IFNG/LAT/FANCA/PRDM1/IL23R/LGALS9B/IL7/SLAMF8/HLA-G/SLC39A10/FAM49B/ZBTB7B/ADORA2A/PYCARD/LST1/TLR9/PGLYRP2/EFNB1/CLEC7A/CD4/HLA-DMB/TNFAIP8L2/LGALS9/IL12A/RHBDD3/IL2/FYN/SMAD7/CD80/SELENOK/ATP11C/TAC1/IL2RA/GLI3/EGR3/IL10/AP3D1/AP3B1/DUSP22/ZBTB1/MPL/TYROBP/ZC3H8/CGAS/CD160/HMGB1/EFNB2/CLPTM1/LILRB4/PPP2R3C/RAC1/SH3RF1/HLA-E/FLT3LG/PTPN2/XCL1/VCAM1/SHLD2/CYLD/MLH1",180
"BP","GO:0007159","leukocyte cell-cell adhesion","140/3069","337/18670",2.30660692750145e-28,2.89110112293032e-25,2.32554538437988e-25,"CTLA4/BTLA/TIGIT/LAX1/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/PTPN22/RIPOR2/CD6/CD28/RUNX3/SELL/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/ZAP70/ITGA4/ITGAL/CD3E/TNFRSF13C/TESPA1/DOCK8/MYB/IL7R/CORO1A/TBX21/SASH3/CD5/RAC2/HLA-DPB1/SPN/IL12RB1/LAG3/CD40LG/LILRB1/ICOS/VAV1/ADD2/NOD2/FOXP3/BTN2A2/CD27/JAK3/FCGR2B/SEMA4D/ITPKB/NCKAP1L/PTPN6/IL4R/CD300A/CCR7/HLA-DPA1/SIRPB1/TNFSF4/ITGB7/CD83/CD74/SKAP1/PAG1/ADAM8/TMEM131L/SELPLG/STK10/ADTRP/MALT1/CD70/IL23A/TNFSF11/CD86/HAVCR2/TMIGD2/IL18/CSK/ZMIZ1/CCR2/ERBB2/VNN1/NLRP3/FERMT3/IHH/HHLA2/ITGB2/PLA2G2D/DPP4/CD47/PELI1/CD274/TNFSF13B/CASP3/IFNG/IL23R/LGALS9B/TNF/IL7/HLA-G/FAM49B/ZBTB7B/ADORA2A/PYCARD/EFNB1/CD4/HLA-DMB/TNFAIP8L2/LGALS9/IL12A/IL2/FYN/SMAD7/CD80/GCNT1/SELENOK/ETS1/IL2RA/GLI3/EGR3/IL10/AP3D1/AP3B1/DUSP22/ZBTB1/ZC3H8/CD160/HMGB1/EFNB2/PTAFR/LILRB4/RAC1/MADCAM1/HLA-E/PTPN2/XCL1/VCAM1/CYLD/ITGB1",140
"BP","GO:0022407","regulation of cell-cell adhesion","156/3069","402/18670",1.4326410180029e-27,1.49639354330403e-24,1.20366979565191e-24,"CTLA4/BTLA/TIGIT/LAX1/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/PTPN22/RIPOR2/CD6/CD28/RUNX3/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/ZAP70/ITGA4/CD3E/TNFRSF13C/TESPA1/AKNA/DOCK8/MYB/IL7R/CORO1A/TBX21/SASH3/CD5/HLA-DPB1/SPN/IL12RB1/LAG3/CD40LG/LILRB1/ICOS/VAV1/NOD2/FOXP3/BTN2A2/CXCL13/CD27/JAK3/FCGR2B/WNT1/ITPKB/NCKAP1L/PTPN6/IL4R/CD300A/CCR7/TNR/HLA-DPA1/SIRPB1/TNFSF4/CD83/CD74/SKAP1/PAG1/ADAM8/TMEM131L/ADTRP/MALT1/CD70/IL23A/TNFSF11/CD86/HAVCR2/ABL1/TMIGD2/IL18/CSK/ZMIZ1/CCR2/ERBB2/ADAM19/VNN1/FXYD5/NLRP3/FERMT3/IHH/HHLA2/ITGB2/PLA2G2D/DPP4/CD47/MDGA1/PELI1/CD274/TNFSF13B/CASP3/IFNG/IL23R/LGALS9B/TNF/IL7/HLA-G/JAK2/ALOX15/FAM49B/VEGFA/ZBTB7B/ADORA2A/PYCARD/EFNB1/CD4/HLA-DMB/TNFAIP8L2/MYO10/LGALS9/IL12A/IL2/PTK2/FYN/SMAD7/CD80/LEF1/SELENOK/DMTN/MAPK7/ETS1/IL2RA/NF2/GLI3/EGR3/IL10/AP3D1/AP3B1/DUSP22/CELSR2/ZBTB1/ZC3H8/BMP6/KIF26B/CD160/FLOT1/HMGB1/EFNB2/EPCAM/LRFN3/PTAFR/LILRB4/TENM3/RAC1/SPINT2/HLA-E/PTPN2/XCL1/VCAM1/CDH1/CYLD/PRKCA",156
"BP","GO:0030217","T cell differentiation","111/3069","240/18670",1.7281070483068e-27,1.54714955310553e-24,1.24449694050245e-24,"ITK/CTLA4/SLAMF6/CAMK4/IRF4/PTPRC/CARD11/PTPN22/LY9/CD28/BCL11B/RUNX3/RHOH/LCK/RASGRP1/CD3G/ZAP70/CD3E/TESPA1/EOMES/DOCK2/MYB/IL7R/CD2/GPR18/TCF7/CD3D/TBX21/SASH3/SPN/IL12RB1/LAG3/TNFSF8/VAV1/FANCD2/THEMIS/FOXP3/HLA-DOA/BTN2A2/CCR6/CD27/TNFRSF18/CD8A/JAK3/WNT1/PIK3CD/ITPKB/NCKAP1L/FUT7/IL4R/CR1/CCR7/TNFSF4/RUNX2/CD83/CD74/NFATC2/BATF/ADAM8/TMEM131L/MALT1/GPR183/IL23A/CD86/ABL1/IL18/ZMIZ1/CCR2/ERBB2/VNN1/NLRP3/IHH/AIRE/PLA2G2D/IL18R1/B2M/FOXN1/IFNG/FANCA/TCIRG1/PRDM1/IL23R/IL7/HLA-G/ZBTB7B/CCR9/CD4/LGALS9/IL12A/IL2/SMAD7/CD80/LEF1/KDELR1/IL2RA/LFNG/GLI3/EGR3/AP3D1/AP3B1/LEPR/ZBTB1/ZC3H8/PATZ1/FZD5/HMGB1/CLPTM1/LILRB4/SH3RF1/PTPN2/CYLD",111
"BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","104/3069","218/18670",3.32527812747124e-27,2.47103784540675e-24,1.98765467262149e-24,"CTLA4/BTLA/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/CD6/CD28/RUNX3/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/ZAP70/ITGA4/CD3E/TNFRSF13C/TESPA1/DOCK8/MYB/IL7R/CORO1A/SASH3/CD5/HLA-DPB1/IL12RB1/CD40LG/LILRB1/ICOS/VAV1/NOD2/FOXP3/BTN2A2/CD27/JAK3/ITPKB/NCKAP1L/PTPN6/IL4R/CCR7/HLA-DPA1/SIRPB1/TNFSF4/CD83/CD74/SKAP1/ADAM8/MALT1/CD70/IL23A/TNFSF11/CD86/HAVCR2/TMIGD2/IL18/CSK/ZMIZ1/CCR2/VNN1/NLRP3/IHH/HHLA2/ITGB2/DPP4/CD47/CD274/TNFSF13B/IFNG/IL23R/TNF/IL7/HLA-G/FAM49B/ZBTB7B/PYCARD/EFNB1/CD4/HLA-DMB/LGALS9/IL12A/IL2/FYN/CD80/SELENOK/ETS1/IL2RA/GLI3/EGR3/AP3D1/AP3B1/ZBTB1/CD160/HMGB1/EFNB2/PTAFR/LILRB4/RAC1/HLA-E/XCL1/VCAM1/CYLD",104
"BP","GO:0002703","regulation of leukocyte mediated immunity","100/3069","205/18670",3.54864219062722e-27,2.47103784540675e-24,1.98765467262149e-24,"STAP1/SLAMF6/KLRK1/PTPRC/FCER2/CD28/CD84/RASGRP1/SH2D1A/CD96/WAS/IL7R/TBX21/SASH3/RAC2/IL12RB1/LAG3/BTK/LILRB1/VAV1/NOD2/HLA-F/FOXP3/ARRB2/JAK3/FCGR2B/CD1C/PTPN6/BCR/IL4R/CD300A/CR1/P2RX7/F2RL1/CRTAM/TNFSF4/LTA/UNC13D/NCR3/ITGAM/MALT1/C17orf99/PVR/IL23A/CD1E/HLA-B/HAVCR2/TNFRSF1B/IL18/ATAD5/CCR2/IL27RA/CD226/NLRP3/CD40/ITGB2/IL18R1/HLA-A/B2M/NCR1/IL18RAP/CD1B/IL23R/TNF/NECTIN2/SERPINB9/STX7/HLA-G/MICB/FAM49B/LGALS9/HLA-C/FER/IL12A/IL2/SMAD7/SH2D1B/CD1A/ABR/CADM1/IL10/C4BPB/C4BPA/DUSP22/ZBTB1/TYROBP/CD160/FZD5/HMGB1/DDX1/PTAFR/HLA-E/SPHK2/TRPM4/XCL1/SHLD2/GAB2/VAMP8/MLH1/CLEC12B",100
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","128/3069","304/18670",1.09436742463181e-26,6.85840065016758e-24,5.51676378585449e-24,"CTLA4/BTLA/TIGIT/LAX1/SIRPG/KLRK1/PTPRC/CLECL1/CARD11/PTPN22/RIPOR2/CD6/CD28/RUNX3/RASAL3/LCK/GRAP2/PDCD1/RASGRP1/CCDC88B/ZAP70/ITGA4/CD3E/TNFRSF13C/TESPA1/DOCK8/MYB/IL7R/CORO1A/TBX21/SASH3/CD5/HLA-DPB1/SPN/IL12RB1/LAG3/CD40LG/LILRB1/ICOS/VAV1/NOD2/FOXP3/BTN2A2/CD27/JAK3/FCGR2B/ITPKB/NCKAP1L/PTPN6/IL4R/CD300A/CCR7/HLA-DPA1/SIRPB1/TNFSF4/CD83/CD74/SKAP1/PAG1/ADAM8/TMEM131L/ADTRP/MALT1/CD70/IL23A/TNFSF11/CD86/HAVCR2/TMIGD2/IL18/CSK/ZMIZ1/CCR2/ERBB2/VNN1/NLRP3/IHH/HHLA2/ITGB2/PLA2G2D/DPP4/CD47/PELI1/CD274/TNFSF13B/CASP3/IFNG/IL23R/LGALS9B/TNF/IL7/HLA-G/FAM49B/ZBTB7B/ADORA2A/PYCARD/EFNB1/CD4/HLA-DMB/TNFAIP8L2/LGALS9/IL12A/IL2/FYN/SMAD7/CD80/SELENOK/ETS1/IL2RA/GLI3/EGR3/IL10/AP3D1/AP3B1/DUSP22/ZBTB1/ZC3H8/CD160/HMGB1/EFNB2/PTAFR/LILRB4/RAC1/HLA-E/PTPN2/XCL1/VCAM1/CYLD",128
