"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042110","T cell activation","146/2047","464/18670",8.21163916028866e-34,4.94094328274569e-30,4.14298805213301e-30,"RIPOR2/NLRC3/BCL11B/FANCD2/DOCK8/SLAMF6/TCF7/MYB/CTLA4/BTLA/CARD11/ITK/CCR6/PTPN6/TMEM131L/RASAL3/TESPA1/BTN2A2/GRAP2/LILRB1/CAMK4/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/BTN3A1/IL7R/LAX1/DOCK2/JAML/TNFSF8/ZAP70/CORO1A/CASP8/CCR7/CD40LG/WAS/LCK/SIT1/CD300A/CD6/GPR18/SPN/PTPN22/PTPRC/TIGIT/CD2/PIK3CD/SASH3/CD3G/ZMIZ1/ICOS/ITGAL/IL12RB1/SIRPB1/THEMIS/LAT/TREML2/CD3E/F2RL1/PIK3CG/PDCD1/RHOH/JAK3/RASGRP1/FUT7/CD28/CD3D/PAG1/CSK/VAV1/ABL1/RUNX3/APBB1IP/TBX21/WNT1/IL6/NCKAP1L/CD27/LCP1/IRF4/HLA-DPB1/PYCARD/AIRE/P2RX7/IL23A/HLA-DOA/FANCA/TMIGD2/TNFSF4/FOXP3/RARA/SLA2/FCGR2B/RUNX2/VNN1/CCR2/NOD2/CR1/ZBTB1/ADAM8/TNFRSF13C/RAC2/CCR9/EOMES/SH3RF1/LEF1/CASP3/ERBB2/IL18/GATA3/LY9/CD83/NFATC2/CD5/TNFSF11/SDC4/NLRP3/LAG3/TNFAIP8L2/MALT1/FOXN1/TCIRG1/BATF/HAVCR2/SRC/CD86/STAT3/PRKAR1A/GLI3/CD8A/IL4R/CD7/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/ADORA2A/TNFRSF1B/LIG4/PRDM1/CD8B/ELF4/TNFRSF14",146
"BP","GO:0030098","lymphocyte differentiation","116/2047","353/18670",6.4017223250649e-29,1.92595816149577e-25,1.61491868968611e-25,"HDAC9/BCL11B/FANCD2/SLAMF6/TCF7/MYB/CTLA4/CARD11/ITK/INPP5D/CCR6/PLCG2/PTPN6/PTK2B/TMEM131L/TESPA1/BTN2A2/ATM/POU2F2/CD79B/IKZF1/CAMK4/DOCK10/AICDA/ITPKB/IL7R/DOCK2/TNFSF8/ZAP70/CCR7/FCRL3/CD40LG/LCK/MS4A1/GPR18/SPN/BTK/PTPN22/PTPRC/ITGA4/CD2/IKZF3/PIK3CD/SASH3/CD3G/ZMIZ1/IL12RB1/TOX/THEMIS/CD3E/CD19/RHOH/JAK3/RASGRP1/FUT7/CD28/CD3D/VAV1/ABL1/RUNX3/TBX21/WNT1/IL6/NCKAP1L/BLNK/CD27/NFAM1/IRF4/AIRE/IL23A/HLA-DOA/FANCA/C17orf99/DCLRE1C/TNFSF4/FOXP3/RARA/FCGR2B/RUNX2/VNN1/CCR2/CR1/ZBTB1/ADAM8/CCR9/EOMES/SH3RF1/LEF1/ERBB2/IL18/GATA3/LYL1/ITGB1/LY9/CD83/NFATC2/NLRP3/LAG3/MALT1/FOXN1/TCIRG1/CR2/BATF/CD86/STAT3/GLI3/CD8A/IL4R/IL4/SLAMF8/CD4/FLT3/PGLYRP2/ADGRG3/LIG4/PRDM1",116
"BP","GO:0050863","regulation of T cell activation","105/2047","314/18670",5.63008703627263e-27,1.12920778990841e-23,9.46842356661568e-24,"RIPOR2/FANCD2/DOCK8/MYB/CTLA4/BTLA/CARD11/PTPN6/TMEM131L/RASAL3/TESPA1/BTN2A2/GRAP2/LILRB1/CAMK4/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/IL7R/LAX1/TNFSF8/ZAP70/CORO1A/CCR7/CD40LG/LCK/SIT1/CD300A/CD6/SPN/PTPN22/PTPRC/TIGIT/CD2/SASH3/ZMIZ1/ICOS/IL12RB1/SIRPB1/LAT/CD3E/PDCD1/JAK3/RASGRP1/CD28/PAG1/CSK/VAV1/ABL1/RUNX3/TBX21/IL6/NCKAP1L/CD27/IRF4/HLA-DPB1/PYCARD/IL23A/HLA-DOA/FANCA/TMIGD2/TNFSF4/FOXP3/RARA/FCGR2B/VNN1/CCR2/NOD2/CR1/ZBTB1/ADAM8/TNFRSF13C/RAC2/SH3RF1/CASP3/ERBB2/IL18/GATA3/CD83/NFATC2/CD5/TNFSF11/SDC4/NLRP3/LAG3/TNFAIP8L2/MALT1/FOXN1/HAVCR2/SRC/CD86/PRKAR1A/GLI3/IL4R/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/ADORA2A/TNFRSF1B/PRDM1/TNFRSF14",105
"BP","GO:0030217","T cell differentiation","85/2047","240/18670",5.66502935374494e-24,8.52162040537082e-21,7.14539097171039e-21,"BCL11B/FANCD2/SLAMF6/TCF7/MYB/CTLA4/CARD11/ITK/CCR6/TMEM131L/TESPA1/BTN2A2/CAMK4/ITPKB/IL7R/DOCK2/TNFSF8/ZAP70/CCR7/LCK/GPR18/SPN/PTPN22/PTPRC/CD2/PIK3CD/SASH3/CD3G/ZMIZ1/IL12RB1/THEMIS/CD3E/RHOH/JAK3/RASGRP1/FUT7/CD28/CD3D/VAV1/ABL1/RUNX3/TBX21/WNT1/IL6/NCKAP1L/CD27/IRF4/AIRE/IL23A/HLA-DOA/FANCA/TNFSF4/FOXP3/RARA/RUNX2/VNN1/CCR2/CR1/ZBTB1/ADAM8/CCR9/EOMES/SH3RF1/LEF1/ERBB2/IL18/GATA3/LY9/CD83/NFATC2/NLRP3/LAG3/MALT1/FOXN1/TCIRG1/BATF/CD86/STAT3/GLI3/CD8A/IL4R/IL4/CD4/LIG4/PRDM1",85
"BP","GO:0007159","leukocyte cell-cell adhesion","103/2047","337/18670",4.91091861991091e-23,5.90979946720079e-20,4.95537535689116e-20,"RIPOR2/DOCK8/MYB/CTLA4/BTLA/CARD11/SELL/PTPN6/TMEM131L/RASAL3/TESPA1/BTN2A2/GRAP2/LILRB1/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/IL7R/LAX1/ZAP70/CORO1A/CCR7/CD40LG/LCK/CD300A/CD6/SPN/PTPN22/SEMA4D/PTPRC/ITGA4/TIGIT/SASH3/ZMIZ1/ICOS/ITGAL/ADD2/IL12RB1/SIRPB1/STK10/CD3E/PDCD1/JAK3/RASGRP1/CD28/PAG1/CSK/VAV1/RUNX3/TBX21/IL6/SKAP1/NCKAP1L/ADTRP/CD27/HLA-DPB1/PYCARD/ITGB7/IL23A/TMIGD2/TNFSF4/FOXP3/RARA/FCGR2B/VNN1/CCR2/NOD2/ZBTB1/ADAM8/TNFRSF13C/TNF/RAC2/SELPLG/CASP3/ERBB2/IL18/GATA3/ITGB1/CD83/CD5/TNFSF11/SDC4/NLRP3/LAG3/TNFAIP8L2/MALT1/HAVCR2/SRC/CD86/PRKAR1A/GLI3/IL4R/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/ADORA2A/ITGB2/TNFRSF14/FERMT3",103
"BP","GO:0051249","regulation of lymphocyte activation","126/2047","485/18670",5.46652362538115e-21,5.18882148749461e-18,4.3508342834883e-18,"RIPOR2/FANCD2/DOCK8/MYB/CTLA4/BTLA/CARD11/INPP5D/BANK1/PTPN6/TMEM131L/RASAL3/TESPA1/BTN2A2/ATM/GRAP2/LILRB1/CAMK4/CLECL1/SIRPG/CD22/KLRK1/ITPKB/CCDC88B/IL7R/LAX1/TNFSF8/ZAP70/CORO1A/CCR7/FCRL3/CD40LG/LCK/SIT1/CD300A/CD6/SPN/BTK/PTPN22/PTPRC/HLA-F/TIGIT/CD2/IKZF3/SASH3/ZMIZ1/ICOS/IL12RB1/SIRPB1/TOX/LAT/CD3E/PDCD1/CD19/JAK3/RASGRP1/IL27RA/CD28/PAG1/CSK/VAV1/ABL1/RUNX3/TBX21/IL6/NCKAP1L/CD27/NFAM1/ATAD5/IRF4/HLA-DPB1/PYCARD/IL23A/HLA-DOA/FANCA/TMIGD2/TNFSF4/FOXP3/RARA/SLA2/TNFAIP3/FCGR2B/VNN1/CCR2/NOD2/CR1/ZBTB1/ADAM8/TNFRSF13C/RAC2/SH3RF1/CASP3/ERBB2/IL18/GATA3/CD83/NFATC2/CD5/TNFSF11/SDC4/NLRP3/LAG3/TNFAIP8L2/MALT1/FOXN1/LST1/SAMSN1/HAVCR2/SRC/CD86/PRKAR1A/GLI3/IL4R/FYN/IL4/SLAMF8/HLA-DMB/CD4/HLA-DPA1/ADORA2A/TNFRSF1B/CD40/PGLYRP2/PRDM1/PKN1/TNFRSF14",126
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","93/2047","304/18670",6.03652159090282e-21,5.18882148749461e-18,4.3508342834883e-18,"RIPOR2/DOCK8/MYB/CTLA4/BTLA/CARD11/PTPN6/TMEM131L/RASAL3/TESPA1/BTN2A2/GRAP2/LILRB1/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/IL7R/LAX1/ZAP70/CORO1A/CCR7/CD40LG/LCK/CD300A/CD6/SPN/PTPN22/PTPRC/ITGA4/TIGIT/SASH3/ZMIZ1/ICOS/IL12RB1/SIRPB1/CD3E/PDCD1/JAK3/RASGRP1/CD28/PAG1/CSK/VAV1/RUNX3/TBX21/IL6/SKAP1/NCKAP1L/ADTRP/CD27/HLA-DPB1/PYCARD/IL23A/TMIGD2/TNFSF4/FOXP3/RARA/FCGR2B/VNN1/CCR2/NOD2/ZBTB1/ADAM8/TNFRSF13C/TNF/CASP3/ERBB2/IL18/GATA3/CD83/CD5/TNFSF11/SDC4/NLRP3/LAG3/TNFAIP8L2/MALT1/HAVCR2/SRC/CD86/PRKAR1A/GLI3/IL4R/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/ADORA2A/ITGB2/TNFRSF14",93
"BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","75/2047","218/18670",1.91167766319495e-20,1.4378205624305e-17,1.20561461048597e-17,"DOCK8/MYB/CTLA4/BTLA/CARD11/PTPN6/RASAL3/TESPA1/BTN2A2/GRAP2/LILRB1/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/IL7R/ZAP70/CORO1A/CCR7/CD40LG/LCK/CD6/PTPRC/ITGA4/SASH3/ZMIZ1/ICOS/IL12RB1/SIRPB1/CD3E/PDCD1/JAK3/RASGRP1/CD28/CSK/VAV1/RUNX3/IL6/SKAP1/NCKAP1L/CD27/HLA-DPB1/PYCARD/IL23A/TMIGD2/TNFSF4/FOXP3/RARA/VNN1/CCR2/NOD2/ZBTB1/ADAM8/TNFRSF13C/TNF/IL18/GATA3/CD83/CD5/TNFSF11/NLRP3/MALT1/HAVCR2/SRC/CD86/GLI3/IL4R/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/ITGB2/TNFRSF14",75
"BP","GO:0050870","positive regulation of T cell activation","71/2047","202/18670",5.04121400468728e-20,3.37033162957815e-17,2.82602792099019e-17,"DOCK8/MYB/CTLA4/BTLA/CARD11/PTPN6/RASAL3/TESPA1/BTN2A2/GRAP2/LILRB1/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/IL7R/ZAP70/CORO1A/CCR7/CD40LG/LCK/CD6/PTPRC/SASH3/ZMIZ1/ICOS/IL12RB1/SIRPB1/CD3E/PDCD1/JAK3/RASGRP1/CD28/CSK/VAV1/RUNX3/IL6/NCKAP1L/CD27/HLA-DPB1/PYCARD/IL23A/TMIGD2/TNFSF4/FOXP3/RARA/VNN1/CCR2/NOD2/ZBTB1/ADAM8/TNFRSF13C/IL18/GATA3/CD83/CD5/TNFSF11/NLRP3/MALT1/HAVCR2/SRC/CD86/GLI3/IL4R/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/TNFRSF14",71
"BP","GO:0022407","regulation of cell-cell adhesion","109/2047","402/18670",8.20369364997897e-20,4.93616246919235e-17,4.13897933308939e-17,"RIPOR2/DOCK8/MYB/CTLA4/BTLA/CARD11/PTPN6/TMEM131L/RASAL3/TESPA1/BTN2A2/AKNA/GRAP2/LILRB1/CLECL1/SIRPG/KLRK1/ITPKB/CCDC88B/IL7R/LAX1/ZAP70/CORO1A/CCR7/CD40LG/LCK/CD300A/CD6/SPN/PTPN22/PTPRC/ITGA4/TIGIT/SASH3/ZMIZ1/ICOS/IL12RB1/SIRPB1/CD3E/PDCD1/JAK3/RASGRP1/CD28/PAG1/CSK/VAV1/ABL1/RUNX3/TBX21/WNT1/IL6/SKAP1/NCKAP1L/ADTRP/FXYD5/CD27/HLA-DPB1/PYCARD/IL23A/TMIGD2/TNFSF4/FOXP3/RARA/FCGR2B/TNR/VNN1/CCR2/NOD2/ZBTB1/ADAM8/TNFRSF13C/TNF/LEF1/CASP3/ERBB2/IL18/GATA3/CD83/CD5/TNFSF11/SDC4/NLRP3/LAG3/PRKCA/MAPK7/TNFAIP8L2/MALT1/HAVCR2/SRC/CD86/MDGA1/PRKAR1A/GLI3/IL4R/FYN/IL4/HLA-DMB/CD4/HLA-DPA1/ADORA2A/ITGB2/VEGFA/PTK2/ALOX15/ADAM19/ALOX12/FLOT1/TNFRSF14/FERMT3",109
